Closed,Name,City,Market
7/30/2021,3000 Highway 7 East,Markham,Ontario\GreaterTorontoArea
7/26/2021,"Kent, East Main Street",Kent,Ohio\Akron
7/25/2021,Minneapolis - 5th Ave & 4th St,Minneapolis,Minnesota\Minneapolis
7/23/2021,1st & Main,St. Charles,Illinois\Chicagoland
7/17/2021,Willowbrook Shopping Centre,Langley,BritishColumbia\Vancouver
7/16/2021,23rd & 3rd,New York,NewYork\NewYorkCity
7/11/2021,Streets of Woodfield,Schaumburg,Illinois\Chicagoland
7/11/2021,Mockingbird & Airline,Dallas,Texas\DallasFortWorth
7/11/2021,Plymouth Rd & Cartway - Minnetonka,Minnetonka,Minnesota\Minneapolis
6/29/2021,Golf & Roosevelt,Schaumburg,Illinois\Chicagoland
6/25/2021,Woodland Mall - Center Court,Grand Rapids,Michigan\GrandRapids
6/22/2021,Bridgewater Commons Level 1,Bridgewater,NewJersey
6/18/2021,1st & Marion,Seattle,Washington\Seattle
6/14/2021,Ocean & Alamitos,Long Beach,California\SoutheastLosAngeles
6/14/2021,Wolf Road,Albany,NewYork\Albany
6/13/2021,Moorestown-Wright`s Hardware,Moorestown,NewJersey
6/8/2021,Union Square West,New York,NewYork\NewYorkCity
6/1/2021,Terminus 100,Atlanta,Georgia\Atlanta
6/1/2021,Vaughan Mills - East (Entry 4),Vaughan,Ontario\GreaterTorontoArea
6/1/2021,St. Vital Centre,Winnipeg,Manitoba
5/29/2021,Hinton,Hinton,Alberta\AlbertaRemoteMarkets
5/24/2021,Dundas & Quebec,Toronto,Ontario\Toronto
5/23/2021,1802 N Arlington Heights Rd,Arlington Heights,Illinois\Chicagoland
5/19/2021,Grant & Swan,Tucson,Arizona\Tucson
5/17/2021,Pacific Place,Seattle,Washington\Seattle
5/17/2021,Main St & 2nd Ave - Whitehorse,Whitehorse,YukonTerritory
5/16/2021,Franklin & Evans-Denver,Denver,Colorado\Denver
5/15/2021,Mack Ave & Allard,Grosse Pointe,Michigan\Detroit
5/15/2021,6th & Grant (Lattas),Denver,Colorado\Denver
5/14/2021,120th & Colorado-Thornton,Thornton,Colorado\Denver
5/1/2021,Pier 1 - The Embarcadero,San Francisco,California\SanFrancisco
5/1/2021,"Monroe Avenue, Rochester",Rochester,NewYork\Rochester
5/1/2021,University Marketplace,Vancouver,BritishColumbia\Vancouver
5/1/2021,UBC -Tech. Facility 3,Vancouver,BritishColumbia\Vancouver
4/28/2021,Village North,Whistler,BritishColumbia\Vancouver
4/24/2021,58th btwn 3rd & Lex,New York,NewYork\NewYorkCity
4/23/2021,Bromley & Sable,Brighton,Colorado\Denver
4/21/2021,Crystal Lodge,Whistler,BritishColumbia\Vancouver
4/18/2021,Third & Market,San Francisco,California\SanFrancisco
4/18/2021,66 Kearny St,San Francisco,California\SanFrancisco
4/16/2021,4513 Wisconsin Ave./Tenley,Washington,WashingtonDC\WashingtonDC
4/16/2021,"Federal Triangle Metro, 12th Street",Washington,WashingtonDC\WashingtonDC
4/16/2021,Arapahoe Market Place,Greenwood Village,Colorado\Denver
4/16/2021,16th & K,Washington,WashingtonDC\WashingtonDC
4/13/2021,Columbia Mall,Columbia,Maryland\Baltimore
4/11/2021,"18th & Franklin - Denver, CO",Denver,Colorado\Denver
4/9/2021,Oak & Rush,Chicago,Illinois\Chicago
4/9/2021,12th & R,Sacramento,California\Sacramento
4/4/2021,14th Str & Taft Ave,Loveland,Colorado\FortCollins
4/2/2021,N. 30th & McCarver/Old Town,Tacoma,Washington\Tacoma
4/1/2021,50th & 2nd,New York,NewYork\NewYorkCity
4/1/2021,159-27 Jamaica Ave.,Jamaica,NewYork\Queens
